title,text,label
Stock market reaches all-time high,Magic solution that solves everything instantly.,1
New species discovered in Amazon rainforest,Event attracts millions of viewers worldwide.,1
RBI cuts repo rate by 50 basis points to support economic growth,Shocking truth revealed about public figures.,1
India's software exports reach record $191 billion in FY2024,Event attracts millions of viewers worldwide.,1
Film wins Golden Globe award,"Shocking discovery: Government health officials have been secretly embedding microchips in vaccines to track citizens' movements. According to leaked confidential documents obtained by our sources, this surveillance program has been ongoing since 2015. Thousands of people report experiencing strange symptoms after vaccination. The government refuses to comment on these allegations.",1
Scientists discover new renewable energy source,EXCLUSIVE: NASA scientists have discovered evidence of an ancient alien civilization that built underground cities beneath the Himalayas. The structures contain advanced technology unknown to modern science. The government is allegedly hiding this information to prevent mass panic. Conspiracy theorists believe this proves the existence of extraterrestrial life.,1
Olympic games break viewership records,Research recognized for breakthrough in field of science.,1
National Health Insurance scheme reaches 50 million beneficiaries,Sensational scandal without credible evidence.,1
IIT Delhi researchers develop biodegradable plastic alternative,Secret meeting exposed: Foreign intelligence agencies met with opposition leaders to plan destabilization of India's economy. Classified documents allegedly detail plans to create artificial inflation and trigger market collapse. Analysts warn of potential economic crisis engineered by hostile nations. Government should take immediate protective measures.,1
University researchers win Nobel prize,Futuristic invention that doesn't exist yet.,1
New metro rail projects approved in 8 major Indian cities,Stunning exposé reveals high-level corruption involving multiple government ministers and corporate leaders. Anonymous whistleblowers provide evidence of illegal transactions totaling billions of rupees. The investigation is allegedly being covered up by mainstream media on government orders. Public demands immediate police action.,1
Delhi becomes one of cleanest cities in South Asia with new policies,Futuristic invention that doesn't exist yet.,1
Supreme Court orders relief fund for flood victims in Kerala,The Supreme Court of India has ordered the establishment of a ₹500 crore relief fund for victims of recent floods in Kerala. The court directed state authorities to expedite the distribution of compensation to affected families. Chief Minister expressed gratitude for the court's intervention and committed to transparent fund management.,1
Tech startups in India secure $20 billion in funding this year,EXCLUSIVE: NASA scientists have discovered evidence of an ancient alien civilization that built underground cities beneath the Himalayas. The structures contain advanced technology unknown to modern science. The government is allegedly hiding this information to prevent mass panic. Conspiracy theorists believe this proves the existence of extraterrestrial life.,1
Indian Railways launches 100 new high-speed trains by 2030,Indian Railways announced plans to acquire 100 new high-speed trains over the next five years. These trains will operate on dedicated tracks connecting major metropolitan areas. The project is estimated to cost ₹1 lakh crore and will reduce travel time between cities by 40%. Railway Minister praised the initiative during a press conference.,1
New cancer treatment shows promise,Impossible claim that defies logic and science.,1
Tech company launches new smartphone,Biodiversity research leads to important discovery.,1
Government launches nationwide digital literacy program,"Health alert: 5G mobile tower radiation is causing mysterious illnesses in children living nearby. Parents report symptoms including fever, headaches, and skin rashes. Medical experts are allegedly suppressing research into the dangers. Environmental activists demand government shutdown of 5G networks immediately.",1
Indian universities rank in top 100 globally for research,Indian Railways announced plans to acquire 100 new high-speed trains over the next five years. These trains will operate on dedicated tracks connecting major metropolitan areas. The project is estimated to cost ₹1 lakh crore and will reduce travel time between cities by 40%. Railway Minister praised the initiative during a press conference.,1
ISRO successfully completes Chandrayaan-3 lunar mission,Impossible claim that defies logic and science.,1
Government announces new solar power initiative across 15 states,"In a significant development, the central government today announced a comprehensive solar energy initiative targeting 15 states. The scheme aims to generate 100 GW of solar power by 2025, creating over 50,000 jobs in the renewable energy sector. According to official sources, the initiative will receive ₹50,000 crore in funding over the next five years. State governments have welcomed the announcement and pledged cooperation in implementation.",1
National infrastructure development accelerates in rural areas,"The Reserve Bank of India announced a 50 basis point reduction in the repo rate today, bringing it down to 5.5%. The decision aims to boost economic growth amid slowing consumption. The RBI also projected GDP growth at 6.5% for the current fiscal year. Banking sector experts have welcomed the monetary policy decision.",1
India signs trade agreement with European Union,Secret meeting exposed: Foreign intelligence agencies met with opposition leaders to plan destabilization of India's economy. Classified documents allegedly detail plans to create artificial inflation and trigger market collapse. Analysts warn of potential economic crisis engineered by hostile nations. Government should take immediate protective measures.,1
Sports team wins championship,Stunning exposé reveals high-level corruption involving multiple government ministers and corporate leaders. Anonymous whistleblowers provide evidence of illegal transactions totaling billions of rupees. The investigation is allegedly being covered up by mainstream media on government orders. Public demands immediate police action.,1
Economic summit achieves breakthrough agreements,Company announces advanced features and specifications.,1
